"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1791345730772492740","Fri May 17 05:51:18 +0000 2024","0","Ditanya Jokowi-Prabowo Mau Ngapain Usai Pemilu Khofifah Pilih Ini - https://t.co/fa2fCsIkw0 - https://t.co/fa2fCsIkw0 https://t.co/8jpOtBaoYm","1791345730772492740","","","in","Indonesia","0","0","0","https://twitter.com/SeputarPemilu/status/1791345730772492740","592943323","SeputarPemilu"
"1790627828825997570","Fri May 17 05:51:12 +0000 2024","0","@KompasTV Kapal riset buat nenggelamkan musuh dan penghianat negara kyk prabowo luhut bp sri mulyani dan jokowi kadih bandol batu yubuh meteka lemoar kelaut g usah nunggu ajal p kiamat kelamaan","1791345704214151363","","KompasTV","in","","0","0","0","https://twitter.com/Tofik545176/status/1791345704214151363","1696064546358865920","Tofik545176"
"1790675863660589445","Fri May 17 05:51:11 +0000 2024","0","@ferrykoto @jokowi Hahaha fery fery ...dulu ahok tengkaran sama orang BPK kalian memarahi ahok dan maki2 dia dan sekarang terbukti BPK disuap oleh pejabat dari seluruh ind spy dapat WTP .kok sekarang anda meradang.","1791345701420753387","","ferrykoto","in","","0","0","0","https://twitter.com/yudiwijayaa/status/1791345701420753387","2373724154","yudiwijayaa"
"1791133902909882565","Fri May 17 05:50:53 +0000 2024","0","@H4T14K4LN4L42 @SBYudhoyono @jokowi @prabowo Inikah watak dari milenial di zaman reformasi ? Dgn sistem kurikulum merdeka ?","1791345626795651294","","H4T14K4LN4L42","in","","0","0","0","https://twitter.com/zoenetd114839/status/1791345626795651294","1674387719919923200","zoenetd114839"
"1791272546484314584","Fri May 17 05:50:33 +0000 2024","0","@ARSIPAJA Jokowi tidak mengetahui bahwa ternyata Tol MBZ menggunakan beton dibawah standar SNI. Jokowi: Yo ndak tau kok tanya saya ","1791345541718397364","","ARSIPAJA","in","","0","0","0","https://twitter.com/rahmatp_id/status/1791345541718397364","373242306","rahmatp_id"
"1791345505638953013","Fri May 17 05:50:24 +0000 2024","0"," Jokowi tidak mengetahui bahwa ternyata Tol MBZ menggunakan beton dibawah standar SNI. Jokowi: Yo ndak tau kok tanya saya ","1791345505638953013","","","in","","0","0","0","https://twitter.com/rahmatp_id/status/1791345505638953013","373242306","rahmatp_id"
"1791140743874244959","Fri May 17 05:50:17 +0000 2024","0","@H4T14K4LN4L42 @LamattiPuang @jokowi @ListyoSigitP @DivHumas_Polri Kek yg kecelakaan kmrn. Plat nya lngs berubah","1791345476857712689","","H4T14K4LN4L42","in","","0","0","0","https://twitter.com/komaria_cocom/status/1791345476857712689","1605179515084607489","komaria_cocom"
"1791345430992961580","Fri May 17 05:50:06 +0000 2024","1","world water forum ke-10 yang akan di gelar pada 18-25 mei 2024 di nusa dua bali ini pastinya akan di hadiri oleh presiden jokowi #PastikanKelancaranWWF10 dan polri pasti akan Siaga Amankan Agenda dalam pertemuan tersebut https://t.co/uv4Vlww4WZ","1791345430992961580","https://pbs.twimg.com/media/GNwjLPRa8AAYo2l.jpg","","in","","0","0","1","https://twitter.com/Yandika_ahmad/status/1791345430992961580","1661410721803157504","Yandika_ahmad"
"1791345402471440625","Fri May 17 05:50:00 +0000 2024","2","presiden jokowi bakal groundbreaking pusat penelitian mangrove di bali berharap semua berjalan lancar semangat selalu pak #PastikanKelancaranWWF10 Siaga Amankan Agenda https://t.co/ciK8WFlCTE","1791345402471440625","https://pbs.twimg.com/media/GNwiWFKagAAynJE.jpg","","in","","0","0","3","https://twitter.com/Ganesaputr4/status/1791345402471440625","864907916490416128","Ganesaputr4"
"1791345236205350960","Fri May 17 05:49:20 +0000 2024","0","Please seseorang bikinin thread pak jokowi kaget","1791345236205350960","","","in","","0","0","0","https://twitter.com/yakahizna/status/1791345236205350960","1312290350","yakahizna"
"1791345231931330901","Fri May 17 05:49:19 +0000 2024","0","Saya sarankan supaya @basuki_btp jangan jadi Cagub Jakarta.Biarkan saja mereka yang dulu menolak anda mencari cagub yg lain. Lebih baik Ahok nyalon Gubernur di Daerah lain yg ada kroni2 kuatnya Jokowi supaya Politik Dinasti dan Dinasti Politik Jokowi Ambruk..! @PDI_Perjuangan","1791345231931330901","","","in","Indonesia","0","0","0","https://twitter.com/Megatop99/status/1791345231931330901","278039207","Megatop99"
"1791339699937919016","Fri May 17 05:49:02 +0000 2024","1","@SeruniPuspaAlam Kasihan baca tweetnya yang kesal sama Jokowi","1791345162259681603","","SeruniPuspaAlam","in","Teluknaga, Indonesia","0","0","0","https://twitter.com/komarudin_ans/status/1791345162259681603","815642272452620288","komarudin_ans"
"1791345073021747458","Fri May 17 05:48:41 +0000 2024","0","@elonmusk @xai Ini bukan pertanyaan kontroversial.... Jika berbicara tentang keadilan apakah pada tahun 2023 yg terhormat bapak presiden Jokowi pernah mengutuk kebiadaban dari aksi teror Hamas di Israel pada 7 Oktober 2023 yg lalu? https://t.co/3TXP3b0tfz","1791345073021747458","https://pbs.twimg.com/media/GNwi1JEbYAAuLNn.jpg","elonmusk","in","","1","0","1","https://twitter.com/MariaTo47844586/status/1791345073021747458","1522164654977474560","MariaTo47844586"
"1791100081330180234","Fri May 17 05:48:10 +0000 2024","1","@Yasinuzumaki48 @opposite6892 sumpah yg ini kasian bgd sampe bapanya minta bantuan ke jokowi tapi tetep ajaaa ga ketamgkep alias ini pelakunya anaknya siapa ya??? kok keballl bgd","1791344942427848819","","Yasinuzumaki48","in","","0","0","0","https://twitter.com/strangerfudd/status/1791344942427848819","1395742127057903626","strangerfudd"
