"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1791387620561363024","Fri May 17 08:37:45 +0000 2024","0","Laporta is one man I will never trust again no matter how sweet and convincing he sound Ever since that politician used Messi to win election and dumped him right after I have held it against him. He is full of lies and deceit and even said he did it for the good of Barca","1791387620561363024","","","en","Nigeria","0","0","0","https://twitter.com/Son_of_Okaboba/status/1791387620561363024","1864318326","Son_of_Okaboba"
"1791363219384160455","Fri May 17 08:37:45 +0000 2024","0","@Ashish74420812 @PHBarca These same guys are became True culer When Lieporta Kicked out Messi after winning Election by his name","1791387619039015122","","Ashish74420812","en","","0","0","0","https://twitter.com/Sk_culeD10S/status/1791387619039015122","939347734800187392","Sk_culeD10S"
"1791085580476182642","Fri May 17 08:37:33 +0000 2024","1","@mqwerty101234 @WuddhaCR7 @Graceofdcreator @heyy_ift @BenRmc_ Pele &gt; Messi with your logic. thanks bro","1791387570040864897","","mqwerty101234","en","New York, US","0","1","0","https://twitter.com/GEROQU_/status/1791387570040864897","763468253687586819","GEROQU_"
"1791361657324904939","Fri May 17 08:37:31 +0000 2024","0","@MagicDelOcho @MagicalXavi Our club?","1791387560821846329","","MagicDelOcho","en","","0","0","0","https://twitter.com/ThatMessiGuy/status/1791387560821846329","1592794937719930880","ThatMessiGuy"
"1791385912875630880","Fri May 17 08:37:30 +0000 2024","0","@MALIK_90x يمطرس الله يلعنه","1791387555100852404","","MALIK_90x","ar","Barcelona, Spain","0","0","0","https://twitter.com/WithMessi_/status/1791387555100852404","1440066329281630212","WithMessi_"
"1791120486178447871","Fri May 17 08:37:28 +0000 2024","0","@ParamLaboratory @animocabrands @Delphi_Ventures @MechanismCap @MeritCircle_IO @PolygonVentures @MH_Ventures @DoublePeakGroup @Faculty__Group @nxgen_xyz @Banks Don't fade $PARAM","1791387549753069600","","ParamLaboratory","en","","0","0","0","https://twitter.com/Messi_x_Eminem/status/1791387549753069600","1550431558326226947","Messi_x_Eminem"
"1791387469101093315","Fri May 17 08:37:26 +0000 2024","0","@Poojave07 @utkarseh @itssparodyy @King_Messi_010 @vyaktivachak @Aditi3150 @whatevertaaniii @a_paulll001 @ankitaa_24 @Mumbaikarhiral best","1791387539233726827","","Poojave07","en","","0","0","0","https://twitter.com/rea_panda17/status/1791387539233726827","1607688927833632768","rea_panda17"
"1791387519025562023","Fri May 17 08:37:21 +0000 2024","0","Lmao only 50m. He convinced Lewadowski to leave Bayern convinced lots of players and could have gotten Messi back as well. While I still support Laporta to get the club back financially I hope the shit he's pulling now comes back to bite him","1791387519025562023","","","en","","0","0","0","https://twitter.com/VicMaestro/status/1791387519025562023","1549900814071857153","VicMaestro"
"1791128277265887450","Fri May 17 08:37:20 +0000 2024","0","@cheztortoni 1-mj 2-messi","1791387512931238240","","cheztortoni","en","","0","0","0","https://twitter.com/btwemirr/status/1791387512931238240","1377125168296828930","btwemirr"
"1791371360175825196","Fri May 17 08:37:19 +0000 2024","0","@OlaOfOffa @_Bignanaa @_iwuese @Cocca1na @Papijnr0 @percyyy01 @ThisisPrudy @Messi_Lives_On @AngeleMalaikaa1 @temi_rossie_ @getterboyy Haha ","1791387511693922614","","OlaOfOffa","tl","Benin","0","0","0","https://twitter.com/na_omi0/status/1791387511693922614","1766506335921721344","na_omi0"
